asset,station,elevation
channel,0.0879,1000.407
channel,0.7493,1000.4421
channel,1.654,1000.4541
channel,2.7706,1000.4687
channel,3.40429,1000.4767
channel,3.9651,1000.483938
channel,4.393149,1000.4096
channel,4.90406,1000.3151
channel,5.368,1000.2429
channel,6.269,1000.1258
channel,6.9034,1000.007525
channel,7.3563,999.947
channel,7.51559,999.9648
channel,7.712,999.9937
channel,7.94866,1000.0017
channel,8.0541,999.8708
channel,8.16655,999.72899
channel,8.27338,999.64158
channel,8.5423,999.629076
channel,8.7132,999.6071
channel,8.9587,999.576
channel,9.226,999.5489
channel,9.21968,999.56548
channel,9.5958,999.5831
channel,10.06688,999.616447
channel,10.4849,999.5968
channel,10.736,999.586
channel,11.059,999.5704
channel,11.4379,999.5486
channel,11.884,999.52357
channel,12.277,999.505
channel,12.5529,999.48539
channel,12.8129,999.41518
channel,12.9832,999.3581
channel,13.167,999.3536
channel,13.288,999.36065
channel,13.535,999.34059
channel,13.854,999.31707
channel,14.0945,999.30174
channel,14.4996,999.2889
channel,14.617,999.3261
channel,15.1018,999.52059
channel,15.2599,999.59885
channel,15.5839,999.95039
channel,15.636,1000.035
channel,15.717,1000.1555
channel,15.7225,1000.21637
channel,15.79108,1000.2908
channel,16.066,1000.48249
channel,16.4029,1000.59261
channel,16.935,1000.698
channel,17.4004,1000.7271
channel,17.9556,1000.66938
channel,18.124,1000.586
channel,18.4919,1000.555
channel,20.387,1000.4709
channel,21.121,1000.4587
channel,22.0339,1000.45334
channel,23.9021,1000.4513
obj1,10.555,999.947
obj1,10.5739,999.8959
obj1,10.534,999.8443
obj1,10.517,999.738
obj1,10.586,999.696
obj1,10.9868,999.64566
obj1,11.117,999.6605
obj1,11.226,999.693
obj1,11.4097,999.7485
obj1,11.641,999.768001
obj1,11.75,999.79155
obj1,11.8532,999.8321
obj1,11.952,999.87896
obj1,11.978,999.918
obj1,12.028,999.9982
obj1,12.04,1000.038
obj1,12.136,1000.1981
obj1,12.176,1000.3103
obj1,12.246,1000.5186
obj1,12.277,1000.608
obj1,12.298,1000.661
obj1,12.2774,1000.9069
obj1,12.0585,1001.08285
obj1,11.9051,1001.1811
obj1,11.8618,1001.2099
obj1,11.699,1001.28933
obj1,11.5157,1001.2949
obj1,11.37256,1001.2819
obj1,11.223,1001.2839
obj1,10.968,1001.2097
obj1,10.761,1001.11239
obj1,10.633,1001.0273
obj1,10.528,1000.898
obj1,10.5,1000.8098
obj1,10.4378,1000.61306
obj1,10.402,1000.50186
obj1,10.389,1000.387
obj1,10.417,1000.22575
