asset,station,elevation
channel,5.261,1000.1804
channel,5.5277,1000.1764
channel,5.62,1000.0357
channel,6.1826,999.97313
channel,6.9375,1000.050887
channel,7.5689,999.9604
channel,8.22032,999.9929
channel,8.3717,999.8776
channel,8.6785,999.7623
channel,8.886,999.4979
channel,9.1926,999.2
channel,10.531,999.1691
channel,11.2528,999.0051
channel,11.9698,998.9095
channel,12.2667,998.9835
channel,13.053671,998.9745
channel,14.904,999.141
channel,15.5631,999.6358
channel,16.03799,1000.2517
channel,17.3369,1000.2861
